Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
"blue print kerajaan jokowi
presiden
2024 - 2029 gibran wapres
2029-2034  gibran capres kaesang mentri
2034-2039 gibran capres 
kaesang mentri
2039-2044 kaesang presiden 
2044-2049 kaesang presiden
2049-2054 jan etes capres kalau belum cukup umur rubah uu beres
2054 -2059 jan etes capres nahyan  wapres
2059 -2064 nahyan capres 
nah ini nanti jatahnya anaknya kaesang
kira kira bgtu konsep blue printnya dinasty jokowi",ujaran kebencian,blue print kerajaan jokowi presiden gibran wakil presiden gibran calon presiden kaesang menteri gibran calon presiden kaesang menteri kaesang presiden kaesang presiden jangan etes calon presiden kalau belum cukup umur rubah undang undang selesai jangan etes calon presiden nahyan wakil presiden nahyan calon presiden nah ini nanti jatahnya anaknya kaesang kira kira begitu konsep blue printnya dinasty jokowi,"['blue', 'print', 'kerajaan', 'jokowi', 'presiden', 'gibran', 'wakil', 'presiden', 'gibran', 'calon', 'presiden', 'kaesang', 'menteri', 'gibran', 'calon', 'presiden', 'kaesang', 'menteri', 'kaesang', 'presiden', 'kaesang', 'presiden', 'jangan', 'etes', 'calon', 'presiden', 'kalau', 'belum', 'cukup', 'umur', 'rubah', 'undang', 'undang', 'selesai', 'jangan', 'etes', 'calon', 'presiden', 'nahyan', 'wakil', 'presiden', 'nahyan', 'calon', 'presiden', 'nah', 'ini', 'nanti', 'jatahnya', 'anaknya', 'kaesang', 'kira', 'kira', 'begitu', 'konsep', 'blue', 'printnya', 'dinasty', 'jokowi']",blue print kerajaan jokowi presiden gibran wakil presiden gibran calon presiden kaesang menteri gibran calon presiden kaesang menteri kaesang presiden kaesang presiden etes calon presiden umur rubah undang undang selesai etes calon presiden nahyan wakil presiden nahyan calon presiden jatahnya anaknya kaesang konsep blue printnya dinasty jokowi,blue print raja jokowi presiden gibran wakil presiden gibran calon presiden kaesang menteri gibran calon presiden kaesang menteri kaesang presiden kaesang presiden etes calon presiden umur rubah undang undang selesai etes calon presiden nahyan wakil presiden nahyan calon presiden jatah anak kaesang konsep blue printnya dinasty jokowi,0
"i stand with you mba erina, ketika semua menyerang personalmu, aku mendoakan scr personalmu. semoga km dan adek bayik sehat, lancar sampai proses kehamilannya🤲",bukan ujaran kebencian,i stand dengan kamu kakak erina ketika semua menyerang personalmu aku mendoakan secara personalmu semoga km dan adik bayik sehat lancar sampai proses kehamilannya,"['i', 'stand', 'dengan', 'kamu', 'kakak', 'erina', 'ketika', 'semua', 'menyerang', 'personalmu', 'aku', 'mendoakan', 'secara', 'personalmu', 'semoga', 'km', 'dan', 'adik', 'bayik', 'sehat', 'lancar', 'sampai', 'proses', 'kehamilannya']",i stand kakak erina menyerang personalmu mendoakan personalmu semoga km adik bayik sehat lancar proses kehamilannya,i stand kakak erina serang personal doa personal moga km adik bayik sehat lancar proses hamil,1
mas @kaesangp jangan pake lagu ini. yang punya lagu tantrum,bukan ujaran kebencian,kakak jangan pakai lagu ini yang punya lagu tantrum,"['kakak', 'jangan', 'pakai', 'lagu', 'ini', 'yang', 'punya', 'lagu', 'tantrum']",kakak pakai lagu lagu tantrum,kakak pakai lagu lagu tantrum,1
diantara banyaknya hujatan aku berdoa semoga ibu dan dede bayi selalu sehat lancar sampe lahiran aamiin🤲🙏,bukan ujaran kebencian,diantara banyaknya hujatan aku berdoa semoga ibu dan adik bayi selalu sehat lancar sampai lahiran aamiin,"['diantara', 'banyaknya', 'hujatan', 'aku', 'berdoa', 'semoga', 'ibu', 'dan', 'adik', 'bayi', 'selalu', 'sehat', 'lancar', 'sampai', 'lahiran', 'aamiin']",banyaknya hujatan berdoa semoga adik bayi sehat lancar lahiran aamiin,banyak hujat doa moga adik bayi sehat lancar lahir aamiin,1
terima kasih telah antar ke usa naik private jet,bukan ujaran kebencian,terima kasih telah antar ke united state of america naik private jet,"['terima', 'kasih', 'telah', 'antar', 'ke', 'united', 'state', 'of', 'america', 'naik', 'private', 'jet']",terima kasih united state of america private jet,terima kasih united state of america private jet,1
"katanya anti korupsi gak taunya malah sekeluarga pelakunya,kecewa aku 2x milih bapak mu",ujaran kebencian,katanya anti korupsi tidak taunya malah sekeluarga pelakunya kecewa aku dua kali memilih bapak mu,"['katanya', 'anti', 'korupsi', 'tidak', 'taunya', 'malah', 'sekeluarga', 'pelakunya', 'kecewa', 'aku', 'dua', 'kali', 'memilih', 'bapak', 'mu']",anti korupsi taunya sekeluarga pelakunya kecewa kali memilih mu,anti korupsi tau keluarga laku kecewa kali pilih mu,0
"mba ganti sound nya, pemilik sound angkuh 😌",ujaran kebencian,kakak ganti sound nya pemilik sound angkuh,"['kakak', 'ganti', 'sound', 'nya', 'pemilik', 'sound', 'angkuh']",kakak ganti sound nya pemilik sound angkuh,kakak ganti sound nya milik sound angkuh,0
sehat panjang umur mas kaesang sekeluarga😍😍😍😍❤️❤️❤️❤️,bukan ujaran kebencian,sehat panjang umur kakak kaesang sekeluarga,"['sehat', 'panjang', 'umur', 'kakak', 'kaesang', 'sekeluarga']",sehat umur kakak kaesang sekeluarga,sehat umur kakak kaesang keluarga,1
pada ngilang ini abis naik jet pribadeehhhh.. makan ruti pat ratus rebu.,ujaran kebencian,pada menghilang ini habis naik jet pribadeeh makan ruti pat ratus rebu,"['pada', 'menghilang', 'ini', 'habis', 'naik', 'jet', 'pribadeeh', 'makan', 'ruti', 'pat', 'ratus', 'rebu']",menghilang habis jet pribadeeh makan ruti pat ratus rebu,hilang habis jet pribadeeh makan ruti pat ratus rebu,0
"diantara semua doa buruk dan cacian untuk bayi nya , aku cuma mau doain sehat2 mba erina sampai lahiran yaa ..gpp mba ambil wudhu sholat doa apapun itu utk mereka yg hujat berlebihan, aku prcaya doa ibu hamil sangat mustajab, allah sndri yg janjikan itu👍",bukan ujaran kebencian,diantara semua doa buruk dan cacian untuk bayi nya aku hanya mau doakan sehat sehat kakak erina sampai lahiran ya gpp kakak ambil wudhu salat doa apapun itu untuk mereka yang hujat berlebihan aku percaya doa ibu hamil sangat mustajab allah sendiri yang janjikan itu,"['diantara', 'semua', 'doa', 'buruk', 'dan', 'cacian', 'untuk', 'bayi', 'nya', 'aku', 'hanya', 'mau', 'doakan', 'sehat', 'sehat', 'kakak', 'erina', 'sampai', 'lahiran', 'ya', 'gpp', 'kakak', 'ambil', 'wudhu', 'salat', 'doa', 'apapun', 'itu', 'untuk', 'mereka', 'yang', 'hujat', 'berlebihan', 'aku', 'percaya', 'doa', 'ibu', 'hamil', 'sangat', 'mustajab', 'allah', 'sendiri', 'yang', 'janjikan', 'itu']",doa buruk cacian bayi nya doakan sehat sehat kakak erina lahiran ya gpp kakak ambil wudhu salat doa apapun hujat percaya doa hamil mustajab allah janjikan,doa buruk caci bayi nya doa sehat sehat kakak erina lahir ya gpp kakak ambil wudhu salat doa apa hujat percaya doa hamil mustajab allah janji,1
yang menghujat kaya gak pernah buat dosa apapun yaa😭 semoga mba erina dan bayi nya sehat selalu ..,bukan ujaran kebencian,yang menghujat seperti tidak pernah buat dosa apapun yaa semoga kakak erina dan bayi nya sehat selalu,"['yang', 'menghujat', 'seperti', 'tidak', 'pernah', 'buat', 'dosa', 'apapun', 'yaa', 'semoga', 'kakak', 'erina', 'dan', 'bayi', 'nya', 'sehat', 'selalu']",menghujat dosa apapun yaa semoga kakak erina bayi nya sehat,hujat dosa apa yaa moga kakak erina bayi nya sehat,1
panen pahala mba erina dan mas kaesang❤️,bukan ujaran kebencian,panen pahala kakak erina dan kakak kaesang,"['panen', 'pahala', 'kakak', 'erina', 'dan', 'kakak', 'kaesang']",panen pahala kakak erina kakak kaesang,panen pahala kakak erina kakak kaesang,1
gk pernah gue sebenci  ini sama satu keluarga!,ujaran kebencian,tidak pernah aku sebenci ini sama satu keluarga,"['tidak', 'pernah', 'aku', 'sebenci', 'ini', 'sama', 'satu', 'keluarga']",sebenci keluarga,benci keluarga,0
kasihan bgt mba suaminya g bs nyari krja sndri smpe ngrepotin 1 negara,ujaran kebencian,kasihan sekali kakak suaminya tidak bisa mencari kerja sendiri sampai ngrepotin negara,"['kasihan', 'sekali', 'kakak', 'suaminya', 'tidak', 'bisa', 'mencari', 'kerja', 'sendiri', 'sampai', 'ngrepotin', 'negara']",kasihan kakak suaminya mencari kerja ngrepotin negara,kasihan kakak suami cari kerja ngrepotin negara,0
lagu nya hilang udah gak pakai lagu rio clapy lg. malu gak tuh seindonesia benci semua sama dia,ujaran kebencian,lagu nya hilang sudah tidak pakai lagu rio clapy lg malu tidak itu seindonesia benci semua sama dia,"['lagu', 'nya', 'hilang', 'sudah', 'tidak', 'pakai', 'lagu', 'rio', 'clapy', 'lg', 'malu', 'tidak', 'itu', 'seindonesia', 'benci', 'semua', 'sama', 'dia']",lagu nya hilang pakai lagu rio clapy lg malu seindonesia benci,lagu nya hilang pakai lagu rio clapy lg malu indonesia benci,0
mbk erina ganti sound nya😢😢,bukan ujaran kebencian,kakak erina ganti sound nya,"['kakak', 'erina', 'ganti', 'sound', 'nya']",kakak erina ganti sound nya,kakak erina ganti sound nya,1
"hayooo dimana kau......, otw anak lahir dan besar tanpa di dampingi bapak 😂",ujaran kebencian,ayo dimana kau nyala sebuah way anak lahir dan besar tanpa di dampingi bapak,"['ayo', 'dimana', 'kau', 'nyala', 'sebuah', 'way', 'anak', 'lahir', 'dan', 'besar', 'tanpa', 'di', 'dampingi', 'bapak']",ayo dimana kau nyala way anak lahir dampingi,ayo mana kau nyala way anak lahir damping,0
"erina, semoga tuhan tidak memberimu azab ya",bukan ujaran kebencian,erina semoga tuhan tidak memberimu azab ya,"['erina', 'semoga', 'tuhan', 'tidak', 'memberimu', 'azab', 'ya']",erina semoga tuhan memberimu azab ya,erina moga tuhan beri azab ya,1
"mba pakai tawas coba biar lebih mantap, gak sampai rb 400 ko",bukan ujaran kebencian,kakak pakai tawas coba biar lebih mantap tidak sampai ribu kok,"['kakak', 'pakai', 'tawas', 'coba', 'biar', 'lebih', 'mantap', 'tidak', 'sampai', 'ribu', 'kok']",kakak pakai tawas coba biar mantap ribu,kakak pakai tawas coba biar mantap ribu,1
"hapus aja musiknya mas,aku si wegahh sm penyanyi kek gitu😭",bukan ujaran kebencian,hapus saja musiknya mas aku sih wegahh sama penyanyi seperti gitu,"['hapus', 'saja', 'musiknya', 'mas', 'aku', 'sih', 'wegahh', 'sama', 'penyanyi', 'seperti', 'gitu']",hapus musiknya mas sih wegahh penyanyi gitu,hapus musik mas sih wegahh nyanyi gitu,1
mba @erinagudono tumben mba ga flexing lgi,ujaran kebencian,kakak tumben kakak tidak flexing lagi,"['kakak', 'tumben', 'kakak', 'tidak', 'flexing', 'lagi']",kakak tumben kakak flexing,kakak tumben kakak flexing,0
i stand with you bumil🤲,bukan ujaran kebencian,i stand dengan kamu bumil,"['i', 'stand', 'dengan', 'kamu', 'bumil']",i stand bumil,i stand bumil,1
nepotism.,ujaran kebencian,nepotism,['nepotism'],nepotism,nepotism,0
"sehat selalu mba erina&debay, jgn bacain komment nt stress, semoga diberikan kelancar persalinannya 🤲🤲🤲🤲",bukan ujaran kebencian,sehat selalu kakak erina debay jangan bacakan komen nanti stre semoga diberikan kelancar persalinannya,"['sehat', 'selalu', 'kakak', 'erina', 'debay', 'jangan', 'bacakan', 'komen', 'nanti', 'stre', 'semoga', 'diberikan', 'kelancar', 'persalinannya']",sehat kakak erina debay bacakan komen stre semoga kelancar persalinannya,sehat kakak erina debay baca komen stre moga lancar salin,1
soalnya dia udah ngata2in kaliannnnn🥺,bukan ujaran kebencian,soalnya dia sudah ngata ngatai kalian,"['soalnya', 'dia', 'sudah', 'ngata', 'ngatai', 'kalian']",ngata ngatai,ngata ngatai,1
shame on you 👎👎👎,ujaran kebencian,kecewa nyala kamu,"['kecewa', 'nyala', 'kamu']",kecewa nyala,kecewa nyala,0
dmn?,bukan ujaran kebencian,dmn,['dmn'],dmn,dmn,1
kemana lo ngumpet lo . bikni podcast sana sama si dedi  buat nyebokin ..(klarifikasi),ujaran kebencian,kemana kamu mengumpet kamu bikni podcast sana sama sih dedi buat nyebokin klarifikasi,"['kemana', 'kamu', 'mengumpet', 'kamu', 'bikni', 'podcast', 'sana', 'sama', 'sih', 'dedi', 'buat', 'nyebokin', 'klarifikasi']",kemana mengumpet bikni podcast sih dedi nyebokin klarifikasi,mana umpet bikni podcast sih dedi nyebokin klarifikasi,0
"halahh pencitraan,, ganti laguu mabsroooo",ujaran kebencian,alah pencitraan ganti laguu mabsro,"['alah', 'pencitraan', 'ganti', 'laguu', 'mabsro']",alah pencitraan ganti laguu mabsro,alah citra ganti laguu mabsro,0
komennya yang punya lagu dimana sih,bukan ujaran kebencian,komennya yang punya lagu dimana sih,"['komennya', 'yang', 'punya', 'lagu', 'dimana', 'sih']",komennya lagu dimana sih,komennya lagu mana sih,1
mbaa erinaaaaa i lovee uuu🥺,bukan ujaran kebencian,kakak erina i lovee u,"['kakak', 'erina', 'i', 'lovee', 'u']",kakak erina i lovee u,kakak erina i lovee u,1
"tuker mas lagu nya, yg punya lagi kaya bocah.lagian jg lagu nya b aja, ga terkenal juga. saya aja gatau dya siapa, jujur.",ujaran kebencian,tukar kakak lagu nya yang punya lagi seperti bocah lagian juga lagu nya b aja tidak terkenal juga aku saja tidak tau dia siapa jujur,"['tukar', 'kakak', 'lagu', 'nya', 'yang', 'punya', 'lagi', 'seperti', 'bocah', 'lagian', 'juga', 'lagu', 'nya', 'b', 'aja', 'tidak', 'terkenal', 'juga', 'aku', 'saja', 'tidak', 'tau', 'dia', 'siapa', 'jujur']",tukar kakak lagu nya bocah lagu nya b aja terkenal tau jujur,tukar kakak lagu nya bocah lagu nya b aja kenal tau jujur,0
roti 400rb gimana rasanya mbak? enak mana sama aoka?,bukan ujaran kebencian,roti rb bagaimana rasanya mbak enak mana sama aoka,"['roti', 'rb', 'bagaimana', 'rasanya', 'mbak', 'enak', 'mana', 'sama', 'aoka']",roti rb mbak enak aoka,roti rb mbak enak aoka,1
mba kata netizen awas anaknya mirip bahlil,ujaran kebencian,kakak kata warganet awas anaknya mirip bahlil,"['kakak', 'kata', 'warganet', 'awas', 'anaknya', 'mirip', 'bahlil']",kakak warganet awas anaknya bahlil,kakak warganet awas anak bahlil,0
banyak yang dihapus komennya 😂😂,bukan ujaran kebencian,banyak yang dihapus komennya,"['banyak', 'yang', 'dihapus', 'komennya']",dihapus komennya,hapus komennya,1
negara serasa milik si keluarga mebel,ujaran kebencian,negara serasa milik sih keluarga mebel,"['negara', 'serasa', 'milik', 'sih', 'keluarga', 'mebel']",negara serasa milik sih keluarga mebel,negara serasa milik sih keluarga mebel,0
"selamat kae sang , semoga di semogakan,, bissmillah kursi department sosial 🤲",bukan ujaran kebencian,selamat itu sang semoga di semogakan bi millah kursi department sosial,"['selamat', 'itu', 'sang', 'semoga', 'di', 'semogakan', 'bi', 'millah', 'kursi', 'department', 'sosial']",selamat sang semoga semogakan bi millah kursi department sosial,selamat sang moga moga bi mil kursi department sosial,1
"sebenarnya kasihan di bully!!! tp bagaimana ya, kesalahan sendiri pula krn serakah. yg seharusnya paling dikasihani ya masyarakat kita yg masih banyak terpuruk, sedangkan keluarga kalian bersama antek2-nya memperkaya diri. semoga menjadi pembelajaran ya agar jangan mengulang kekejaman lagi",ujaran kebencian,sebenarnya kasihan di bully tetapi bagaimana ya kesalahan sendiri pula karena serakah yang seharusnya paling dikasihani ya masyarakat kita yang masih banyak terpuruk sedangkan keluarga kalian bersama antek nya memperkaya diri semoga menjadi pembelajaran ya agar jangan mengulang kekejaman lagi,"['sebenarnya', 'kasihan', 'di', 'bully', 'tetapi', 'bagaimana', 'ya', 'kesalahan', 'sendiri', 'pula', 'karena', 'serakah', 'yang', 'seharusnya', 'paling', 'dikasihani', 'ya', 'masyarakat', 'kita', 'yang', 'masih', 'banyak', 'terpuruk', 'sedangkan', 'keluarga', 'kalian', 'bersama', 'antek', 'nya', 'memperkaya', 'diri', 'semoga', 'menjadi', 'pembelajaran', 'ya', 'agar', 'jangan', 'mengulang', 'kekejaman', 'lagi']",kasihan bully ya kesalahan serakah dikasihani ya masyarakat terpuruk keluarga antek nya memperkaya semoga pembelajaran ya mengulang kekejaman,kasihan bully ya salah serakah kasihan ya masyarakat puruk keluarga antek nya kaya moga ajar ya ulang kejam,0
mas kaesang datang aja ke kpk.. anda kan pengusaha jadi wajar aja klo nyewa privat jet bolak balik antar negara murah itu mah. jelasin aja mas.. biar gk jadi bias opini.. pede mas.. ayahanda mas aja pede bluffing sana sini🤣🤣,ujaran kebencian,kakak kaesang datang saja ke kpk kamu kan pengusaha jadi wajar saja kalau menyewa privat jet bolak balik antar negara murah itu mah jelaskan saja mas biar tidak jadi bias opini percaya diri mas ayahanda kakak saja percaya diri bluffing sana sini,"['kakak', 'kaesang', 'datang', 'saja', 'ke', 'kpk', 'kamu', 'kan', 'pengusaha', 'jadi', 'wajar', 'saja', 'kalau', 'menyewa', 'privat', 'jet', 'bolak', 'balik', 'antar', 'negara', 'murah', 'itu', 'mah', 'jelaskan', 'saja', 'mas', 'biar', 'tidak', 'jadi', 'bias', 'opini', 'percaya', 'diri', 'mas', 'ayahanda', 'kakak', 'saja', 'percaya', 'diri', 'bluffing', 'sana', 'sini']",kakak kaesang kpk pengusaha wajar menyewa privat jet bolak negara murah mah mas biar bias opini percaya mas ayahanda kakak percaya bluffing,kakak kaesang kpk usaha wajar sewa privat jet bolak negara murah mah mas biar bias opini percaya mas ayahanda kakak percaya bluffing,0
adeknya fufufafa ..... ang ang ang,ujaran kebencian,adeknya fufufafa ang ang ang,"['adeknya', 'fufufafa', 'ang', 'ang', 'ang']",adeknya fufufafa ang ang ang,adeknya fufufafa ang ang ang,0
moga lahir ca.  cccadd itu anak,ujaran kebencian,semoga lahir ca cadd itu anak,"['semoga', 'lahir', 'ca', 'cadd', 'itu', 'anak']",semoga lahir ca cadd anak,moga lahir ca cadd anak,0
calon dinasti,ujaran kebencian,calon dinasti,"['calon', 'dinasti']",calon dinasti,calon dinasti,0
"mas...dicariin tuh sama kpk,, ngumpet dimana....",bukan ujaran kebencian,mas dicariin itu sama kpk mengumpet dimana,"['mas', 'dicariin', 'itu', 'sama', 'kpk', 'mengumpet', 'dimana']",mas dicariin kpk mengumpet dimana,mas dicariin kpk umpet mana,1
"mba ganti sound nya, pemilik sound angkuh @rio_clappy",ujaran kebencian,kakak ganti sound nya pemilik sound angkuh,"['kakak', 'ganti', 'sound', 'nya', 'pemilik', 'sound', 'angkuh']",kakak ganti sound nya pemilik sound angkuh,kakak ganti sound nya milik sound angkuh,0
cantiknya masyaallah ❤️,bukan ujaran kebencian,cantiknya masyaallah,"['cantiknya', 'masyaallah']",cantiknya masyaallah,cantik masyaallah,1
"mas, kaesang kerjamu apa sih😭, jujur kok aku jadi ikut mangkel dengan keadaan ini,😭",bukan ujaran kebencian,mas kaesang kerjamu apa sih jujur kok aku jadi ikut mangkel dengan keadaan ini,"['mas', 'kaesang', 'kerjamu', 'apa', 'sih', 'jujur', 'kok', 'aku', 'jadi', 'ikut', 'mangkel', 'dengan', 'keadaan', 'ini']",mas kaesang kerjamu sih jujur mangkel,mas kaesang kerja sih jujur mangkel,1
yuhuuu yg di panggil kpk,ujaran kebencian,yuhu yang di panggil komisi pemberantasan korupsi,"['yuhu', 'yang', 'di', 'panggil', 'komisi', 'pemberantasan', 'korupsi']",yuhu panggil komisi pemberantasan korupsi,yuhu panggil komisi berantas korupsi,0
lagunya enak bangettt.. keren nih penyanyinya...,bukan ujaran kebencian,lagunya enak banget keren ini penyanyinya,"['lagunya', 'enak', 'banget', 'keren', 'ini', 'penyanyinya']",lagunya enak banget keren penyanyinya,lagu enak banget keren nyanyi,1
@feliciatissue terselamatkan anda 🙈🙈🙈,ujaran kebencian,terselamatkan kamu,"['terselamatkan', 'kamu']",terselamatkan,selamat,0
pulang dong di cariin kpk tuh,ujaran kebencian,pulang dong di carikan komisi pemberantasan korupsi itu,"['pulang', 'dong', 'di', 'carikan', 'komisi', 'pemberantasan', 'korupsi', 'itu']",pulang carikan komisi pemberantasan korupsi,pulang cari komisi berantas korupsi,0
udah paling bener memang seperti istrinya mas gibran.. gak pakai sosmed.. karna klo yg ini isinya malah terkesan pamer trs.. jadinya boomerang buat dirisendiri kaan… ealah mbk erinaaa.. sekarang km bukan rakyat biasa. segala tingkah diperhatikan sm seluruh mata disetiap negara.. jadilah bijak bersosial media biar adem ayem. sehat” buat janinnya. smoga next lebih bijak bersosmed,ujaran kebencian,sudah paling benar memang seperti istrinya kakak gibran tidak pakai sosmed karena kalau yang ini isinya malah terkesan pamer trs jadinya boomerang buat dirisendiri kaan iyalah kakak erina sekarang km bukan rakyat biasa segala tingkah diperhatikan sama seluruh mata disetiap negara jadilah bijak bersosial media biar adem ayem sehat buat janinnya semoga lanjut lebih bijak bersosial media,"['sudah', 'paling', 'benar', 'memang', 'seperti', 'istrinya', 'kakak', 'gibran', 'tidak', 'pakai', 'sosmed', 'karena', 'kalau', 'yang', 'ini', 'isinya', 'malah', 'terkesan', 'pamer', 'trs', 'jadinya', 'boomerang', 'buat', 'dirisendiri', 'kaan', 'iyalah', 'kakak', 'erina', 'sekarang', 'km', 'bukan', 'rakyat', 'biasa', 'segala', 'tingkah', 'diperhatikan', 'sama', 'seluruh', 'mata', 'disetiap', 'negara', 'jadilah', 'bijak', 'bersosial', 'media', 'biar', 'adem', 'ayem', 'sehat', 'buat', 'janinnya', 'semoga', 'lanjut', 'lebih', 'bijak', 'bersosial', 'media']",istrinya kakak gibran pakai sosmed isinya terkesan pamer trs boomerang dirisendiri kaan iyalah kakak erina km rakyat tingkah diperhatikan mata disetiap negara bijak bersosial media biar adem ayem sehat janinnya semoga bijak bersosial media,istri kakak gibran pakai sosmed isi kes pamer trs boomerang dirisendiri kaan iya kakak erina km rakyat tingkah perhati mata tiap negara bijak sosial media biar adem ayem sehat janin moga bijak sosial media,0
